episode,person,line,id,title,type,season
1,monica,there's nothing to tell! he's just some guyi work with!,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,joey,"c'mon, you're going out with the guy! there'sgotta be something wrong with him!",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,chandler,"all right joey, benice. so does he have a hump? a hump and a hairpiece?",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,phoebe,"wait, does he eat chalk?",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,phoebe,"just, 'cause, i don't want her to go throughwhat i went through with carl- oh!",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,monica,"okay, everybody relax. this is not even adate. it's just two people going out to dinner and- not having sex.",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,chandler,sounds like a date to me.,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,chandler,"alright, so i'm back in high school, i'mstanding in the middle of the cafeteria, and i realize i am totally naked.",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,all,"oh, yeah. had that dream.",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,chandler,"then i look down, and i realize there's aphone... there.",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,joey,instead of...?,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,chandler,that's right.,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,joey,never had that dream.,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,phoebe,no.,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,chandler,"all of a sudden, the phone starts to ring.now i don't know what to do, everybody starts looking at me.",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,monica,and they weren't looking atyou before?!,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,chandler,"finally, i figurei'd better answer it, and it turns out it's my mother,which is very-very weird, because- she never calls me!",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,ross,(mortified) hi.,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,joey,"this guy says hello, i wanna kill myself.",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,monica,"are you okay, sweetie?",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,ross,"i just feel like someone reached down mythroat, grabbed my small intestine, pulled it out of my mouth and tied it around myneck...",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,chandler,cookie?,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,monica,(explaining to the others) carol moved herstuff out today.,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,joey,ohh.,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,monica,(to ross) let me get you some coffee.,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,ross,thanks.,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,phoebe,ooh! oh! (she starts to pluck at the airjust in front of ross.),0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,ross,"no, no don't! stop cleansing my aura! no, justleave my aura alone, okay?",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,phoebe,fine! be murky!,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,ross,"i'll be fine,alright? really, everyone. i hope she'll be very happy.",0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
1,monica,no you don't.,0101,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),person,01
